project,desc,assigned to,reported by,category,priority
Smart Jewel,style master product image not upload,Heta,reception,Support,V.Urgent
Smart Jewel,as per whats app group report error,Heta,reception,Support,high
Smart Jewel,in report image issue,Heta,reception,Report,high
Smart Jewel,bill pdf not show,drashti,reception,Report,V.Urgent
Smart Jewel,Direct Call,drashti,drashti,Support,V.Urgent
Smart Jewel,approval voucher some add,Jagruti,reception,Report,V.Urgent
Smart Jewel,tag issue,krishna,reception,Support,V.Urgent
Smart Jewel,installation,vikas,reception,Support,V.Urgent
Smart Jewel,as per whats app query list,gaurav,reception,Support,high
Smart Jewel,gst purchase issue,drashti,reception,Support,V.Urgent
SJE Plus,entry level issue,chiranjiv,reception,Support,V.Urgent
Smart Jewel,order image issue,Sajeda,reception,Support,high
Smart Jewel,gst wrong show,Janvi,reception,Support,V.Urgent
Smart Jewel,software close,yogita,reception,Support,V.Urgent
Smart Jewel,on hand peace issue,Sajeda,reception,Support,high
Smart Jewel,tag price changes,drashti,reception,Support,high
Smart Jewel,report changes,Heta,reception,Report,V.Urgent
SJE Plus,Kripalu Agencies Report design as per mail,Krupa,Krupa,Report,med
Smart Jewel,stone settlement issue,ashit,reception,Support,high
Smart Jewel,software slow problem,vipul,reception,Support,V.Urgent
SJE Plus,job work issue,shubham,reception,Support,high
SJE Plus,opening entry  error,shubham,reception,Support,high
Smart Jewel,tag set issue,Heta,reception,Support,V.Urgent
SJE Plus,sale order error,krishna,reception,Support,high
Smart Jewel,image not upload(v.urgent),Heta,reception,Support,V.Urgent
Smart Jewel,one report add,reception,reception,Report,V.Urgent
Smart Jewel,job work purchase report issue,Krupa,reception,Report,high
Smart Jewel,new year generate,yogita,reception,Support,V.Urgent
SJE Plus,stock material - issue,prakash,reception,Support,high
Smart Jewel,file import error,vipul,reception,Support,high
Smart Jewel,application not found,vipul,reception,Support,high
SJE Plus,bag cancel issue,prakash,reception,Support,high
SJE Plus,purchase book make,krishna,reception,Support,high
Smart Jewel,stock item not show,krishna,reception,Support,V.Urgent
Smart Jewel,batch number problem,krishna,reception,Support,V.Urgent
SJE Plus,soff Installation,yogita,yogita,Installation,V.Urgent
SJE Plus,Direct Call,drashti,drashti,Support,high
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
Smart Jewel,tag changes,Heta,reception,Support,high
Smart Jewel,in report metal different issue,Jagruti,reception,Report,high
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
Smart Jewel,diamond broken issue,shubham,reception,Support,high
Smart Jewel,bill print issue(urgent),Heta,reception,Report,V.Urgent
Smart Jewel,bag printing diamond not show,drashti,reception,Report,V.Urgent
SJE Plus,print error(as per whats app),krishna,reception,Report,high
SJE Plus,Direct Call,drashti,drashti,Support,high
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
Smart Jewel,diamond issue problem,prakash,reception,Support,V.Urgent
SJE Plus,bill changes,drashti,reception,Report,V.Urgent
Smart Jewel,Loss entry issue,chiranjiv,reception,Support,high
Smart Jewel,Stock valuation issue,krishna,reception,Support,high
Smart Jewel,opening stock check,drashti,reception,Support,V.Urgent
Smart Jewel,diamond sale issue and ask gst bill,sarika,reception,Support,V.Urgent
Smart Jewel,memo return issue,drashti,reception,Report,V.Urgent
SJE Plus,Direct Call,drashti,drashti,Support,high
SJE Plus,Direct Call,drashti,drashti,Report,high
SJE Plus,Direct Call,drashti,drashti,Tag,high
SJE Plus,approval return edit issue,shubham,reception,Support,high
Smart Jewel,report bind,drashti,reception,Report,V.Urgent
SJE Plus,inward chain weight issue(urgent),shubham,reception,Support,V.Urgent
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
SJE Plus,pending order issue,jaytur,reception,Support,high
Smart Jewel,node installation,yogita,reception,Support,high
Smart Jewel,rate master issue not reflact in quotation,sarika,reception,Support,high
SJE Plus,mop code active ,shubham,reception,Support,high
Smart Jewel,job work gst changes,shubham,reception,Support,high
SJE Plus,Direct Call,drashti,drashti,Report,high
Smart Jewel,"Slide show report issue , Self repair issue and image resizer install",drashti,drashti,Report,high
SJE Plus,tag certificate number issue,sarika,reception,Support,high
SJE Plus,packing list opening different issue,Jagruti,reception,Report,high
SJE Plus,old datarestore,sarika,sarika,New Req,V.Urgent
Smart Jewel,tag issue,krishna,reception,Support,V.Urgent
Smart Jewel,Direct Call,sarika,sarika,Tag,V.Urgent
Smart Jewel,sale bill peaces issue,jaytur,reception,Support,V.Urgent
Smart Jewel,make report format,Heta,reception,Report,V.Urgent
SJE Plus,packing list net weight issue,drashti,reception,Report,high
SJE Plus,color stone size update issue,shubham,reception,Support,high
Smart Jewel,software close,yogita,reception,Support,V.Urgent
Smart Jewel,as per mail all points discussion pending,sarika,sarika,bug,V.Urgent
Smart Jewel,export invoice cost rate entry require,sarika,sarika,bug,V.Urgent
SJE Plus,tollerance issue,krishna,sarika,bug,V.Urgent
Smart Jewel,Training ,sarika,sarika,Support,V.Urgent
Smart Jewel,tag problem and data issue,sarika,reception,Tag,V.Urgent
Smart Jewel,fg issue(urgent),shubham,reception,Support,V.Urgent
Smart Jewel,bill print issue,Jagruti,reception,Report,high
Smart Jewel,Direct call,drashti,drashti,Support,high
Smart Jewel,report editing,krishna,reception,Report,V.Urgent
Smart Jewel,order quotation report issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,Branch transfer report pure wt field add procedure and report both,drashti,drashti,Report,high
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,old peace inward in sje plus,shubham,reception,Support,V.Urgent
Smart Jewel,in bill print extra charge not add,Jagruti,reception,Report,V.Urgent
Smart Jewel,metal purity issue,shubham,reception,Support,V.Urgent
Smart Jewel,repair issue,shubham,reception,Support,high
SJE Plus,packing list serial number issue,Jagruti,reception,Report,high
Smart Jewel,Report migration,drashti,drashti,Report,high
Smart Jewel,Direct Call,drashti,drashti,Report,high
SJE Plus,Report as per mail,Krupa,Krupa,New Req,high
Smart Jewel,certificate issue,Heta,reception,Report,high
SJE Plus,Bag Print report cut ,drashti,drashti,Report,V.Urgent
Smart Jewel,file import issue,sarika,reception,Support,high
Smart Jewel,parent book as per sheetal,krishna,reception,Support,V.Urgent
Smart Jewel,color stone sale issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,balance sheet not show in new year,prakash,reception,Support,V.Urgent
Smart Jewel,image mm size issue,shubham,reception,Support,high
SJE Plus,Bag print issue,dhwani,drashti,Report,V.Urgent
Smart Jewel,Direct call,drashti,drashti,Report,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,Direct call,drashti,drashti,Report,V.Urgent
Smart Jewel,report issue,drashti,reception,Report,V.Urgent
Smart Jewel,tag issue,Krupa,reception,Support,V.Urgent
Smart Jewel,tag print issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,peace show in manias(urgent for parcel),chiranjiv,reception,Support,V.Urgent
SJE Plus,Grandeor M Sale Report,Krupa,Krupa,bug,high
SJE Plus,Tulsi Diamond Approval Report,Krupa,Krupa,Report,high
SJE Plus,BNM Tax Invoice,Krupa,Krupa,New Req,high
Smart Jewel,cut off,vikas,reception,Support,V.Urgent
Smart Jewel,packing list print issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,entry stop,Heta,reception,Support,high
Smart Jewel,tag print issue,shubham,reception,Support,high
SJE Plus,balance sheet issue,jaytur,reception,Support,V.Urgent
Smart Jewel,file import error(urgent),shubham,reception,Support,V.Urgent
Smart Jewel,branch transfer issue,shubham,reception,Support,high
Smart Jewel,tag print issue,shubham,reception,Support,high
Smart Jewel,bag rejection melting issue,shubham,reception,Support,high
SJE Plus,tag print issue,drashti,reception,Support,V.Urgent
Smart Jewel,Ritesh sir Calling for quality  masters,sarika,sarika,bug,V.Urgent
SJE Plus,Direct Call,drashti,drashti,Tag,V.Urgent
Smart Jewel,report issue,Heta,reception,Support,high
SJE Plus,after update tag issue,sarika,sarika,Support,V.Urgent
SJE Plus,"Direct Call How To Create Bill,Fg.....Print Preview How To Check Stock...Etc...",sarika,sarika,Support,V.Urgent
Smart Jewel,making formula issue,shubham,reception,Support,high
Smart Jewel,casting issue,krishna,reception,Support,V.Urgent
Smart Jewel,server name,Jagruti,reception,Support,high
Smart Jewel,all report not show print not show(urgent),drashti,reception,Report,V.Urgent
Smart Jewel,metal convert 20 carat issue,krishna,reception,Support,high
SJE Plus,bill print not show,Jagruti,reception,Report,V.Urgent
Smart Jewel,tag issue and branch transfer issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,white and black company path issue,Janvi,reception,Support,high
Smart Jewel,software close,Jagruti,reception,Support,high
Smart Jewel,make format,drashti,reception,Report,V.Urgent
Smart Jewel,sql server corrupt,Heta,reception,Support,high
SJE Plus,Sql Server Installation Because Of They Had Made Server Format,yogita,sarika,Installation,V.Urgent
Smart Jewel,metal receive issue(urgent),shubham,reception,Support,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,cut off,sarika,reception,Support,V.Urgent
SJE Plus,Direct Call Data Attach detach Or Data Duplicate issue,sarika,sarika,Support,V.Urgent
Smart Jewel,loss report,Heta,reception,Report,V.Urgent
Smart Jewel,software change,Jagruti,reception,Support,V.Urgent
Smart Jewel,node installation,Heta,reception,Support,high
Smart Jewel,network error,Janvi,reception,Support,high
Smart Jewel,add payment option in export invoice,Jagruti,reception,Report,high
Smart Jewel,software close,drashti,reception,Support,high
SJE Plus,in style master double diamond entries are showing,krishna,reception,bug,high
Smart Jewel,admin login wroge show,shubham,reception,Support,V.Urgent
SJE Plus,Style master report import and exploration master field add,drashti,drashti,Report,high
Smart Jewel,ask metaling issue,chiranjiv,reception,Support,V.Urgent
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,titan order color issue,Heta,reception,Support,high
SJE Plus,style master diamond entry issue,Ritesh,reception,Support,high
SJE Plus,Given Latest Update And Node Pc Issue,sarika,sarika,bug,V.Urgent
SJE Plus,Direct Call Importer Issue,sarika,sarika,New Req,V.Urgent
SJE Plus,Direct Call Manufacturing And Tree Casting Trainning And Custome Procedure,sarika,sarika,New Req,V.Urgent
SJE Plus,image upload error,shubham,reception,Support,high
SJE Plus,report problem,reception,reception,Report,high
SJE Plus,back up path sat,Jagruti,reception,Support,high
SJE Plus,VC Fine Jewels As per mail sale and material  new report create,drashti,drashti,Report,med
Smart Jewel,bag split finalise report,shubham,reception,Support,high
Smart Jewel,importer issue,chiranjiv,reception,Support,high
SJE Plus,new style master image error,yogita,reception,Support,high
SJE Plus,bag generate issue,shubham,reception,Support,high
Smart Jewel,loan bases return issue,gaurav,reception,Support,high
Smart Jewel,balance sheet issue,ashit,reception,Support,V.Urgent
Smart Jewel,order error,krishna,reception,Support,high
Smart Jewel,ask bag how to delete,krishna,reception,Support,V.Urgent
SJE Plus,software close,shubham,reception,Support,high
Smart Jewel,igi weight not show,shubham,reception,Support,V.Urgent
Smart Jewel,tag issue,shubham,reception,Support,V.Urgent
Smart Jewel,cut off,krishna,reception,Support,high
Smart Jewel,branch transfer issue,vipul,reception,Support,V.Urgent
Smart Jewel,tag setup issue,prakash,reception,Support,V.Urgent
SJE Plus,style master default size issue,krishna,reception,Support,high
Smart Jewel,software problem,chiranjiv,reception,Support,high
SJE Plus,tag print and excel import issue,reception,reception,Support,high
Smart Jewel,entry level issue,jaytur,reception,Support,V.Urgent
Smart Jewel,bag finalize diamond rate not show(urgent),manish,reception,Support,V.Urgent
Smart Jewel,finish good rate show,shubham,reception,Support,high
Smart Jewel,cz stock not show ,ashit,reception,Support,V.Urgent
SJE Plus,Update Last Inward Issue,sarika,sarika,New Req,V.Urgent
SJE Plus,Direct Call Sales Analysts Report Issue,sarika,sarika,Report,V.Urgent
SJE Plus,repair order cancel issue,prakash,reception,Support,high
Smart Jewel,memo receive return gst not show,Jagruti,reception,Report,high
Smart Jewel,Direct Call,drashti,drashti,Report,V.Urgent
SJE Plus,Direct Call,drashti,drashti,Report,V.Urgent
Smart Jewel,installation,yogita,reception,Support,high
Smart Jewel,in wip complete peace not show,krishna,reception,Support,V.Urgent
Smart Jewel,job work purchase issue,krishna,reception,Support,V.Urgent
Smart Jewel,ask server name,krishna,reception,Support,V.Urgent
SJE Plus,material recovery option issue,krishna,reception,Support,high
Smart Jewel,tag edit issue,krishna,reception,Support,V.Urgent
Smart Jewel,file import issue,krishna,reception,Support,V.Urgent
Smart Jewel,ask how to bag generate,Sajeda,reception,Support,V.Urgent
Smart Jewel,software close,Jagruti,reception,Support,high
SJE Plus,repair issue(urgent),sarika,reception,Support,high
Smart Jewel,item code not show,vipul,reception,Support,V.Urgent
SJE Plus,report print issue and tag issue,drashti,reception,Report,high
SJE Plus,entry problem,Heta,reception,Support,high
Smart Jewel,installation,Heta,reception,Support,high
SJE Plus,new report,Jagruti,reception,Report,high
Smart Jewel,image issue,shubham,reception,Support,high
SJE Plus,report issue,reception,reception,Report,high
Smart Jewel,slab add and edit issue,krishna,reception,Support,V.Urgent
Smart Jewel,excel book issue,krishna,reception,Support,V.Urgent
Smart Jewel,Direct call,drashti,drashti,Support,high
SJE Plus,payment settlement issue,shubham,reception,Support,high
Smart Jewel,book master changes,krishna,reception,Support,V.Urgent
SJE Plus,jewelry report entry issue,ashit,reception,Support,high
Smart Jewel,server error,shubham,reception,Support,high
SJE Plus,Direct Call,drashti,drashti,Support,high
SJE Plus,Direct Call,drashti,drashti,Support,high
SJE Plus,Direct Call,drashti,drashti,Support,V.Urgent
SJE Plus,loss entry error,sarika,reception,Support,high
Smart Jewel,repair order issue,jaytur,reception,Support,V.Urgent
SJE Plus,bag image issue,sarika,reception,Report,high
SJE Plus,memo changes,ashit,reception,Support,high
SJE Plus,Material Report rate amount field add,drashti,drashti,Report,V.Urgent
SJE Plus,Tax invoice report labour wrong calaulate,drashti,drashti,Report,V.Urgent
SJE Plus,voucher report issue,drashti,drashti,Report,high
SJE Plus,In Report 1 Field add,drashti,drashti,Report,V.Urgent
SJE Plus,image show in droller and Indian rs,gaurav,reception,Support,V.Urgent
Smart Jewel,gst not show,krishna,reception,Support,V.Urgent
SJE Plus,department diamond sale issue,krishna,reception,Support,high
Smart Jewel,diamond rate issue,Sajeda,reception,Support,high
Smart Jewel,master data problem,krishna,reception,Support,high
Smart Jewel,tag print issue,chiranjiv,reception,Support,V.Urgent
SJE Plus,Design report 2 field add,drashti,drashti,Report,V.Urgent
SJE Plus,tag changes,Jagruti,reception,Support,high
Smart Jewel,file import issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,Yesterday's your talk with Surbhi at B R Design for Gifting item's stock. Kindly call her after 30 mins.,drashti,vipul,Support,high
Smart Jewel,order name not show,Sajeda,reception,Support,V.Urgent
Smart Jewel,ask broken entry,shubham,reception,Support,V.Urgent
Smart Jewel,software close,yogita,reception,Support,high
Smart Jewel,tag print issue,Heta,reception,Report,high
Smart Jewel,estimate format issue,ashit,reception,Report,V.Urgent
Smart Jewel,opening product not show,Sajeda,reception,Support,high
SJE Plus,print issue,drashti,reception,Report,V.Urgent
Smart Jewel,entry level issue,vipul,reception,Support,high
Smart Jewel,Direct call,drashti,drashti,Support,high
Smart Jewel,Direct Call,drashti,drashti,Report,high
SJE Plus,Direct Call,drashti,drashti,Tag,high
SJE Plus,StyleMaster details not show,drashti,drashti,Support,V.Urgent
Smart Jewel,server error,yogita,reception,Support,V.Urgent
Smart Jewel,tag changes,krishna,reception,Support,V.Urgent
SJE Plus,ledger with stock 0 issue,prakash,reception,Support,high
SJE Plus,packing list diamond weight double show,drashti,reception,Support,V.Urgent
SJE Plus,taging issue,shubham,reception,Support,V.Urgent
Smart Jewel,tag price changes,Sajeda,reception,Support,high
SJE Plus,jewelry stock as on report collection need,krishna,reception,Support,V.Urgent
Smart Jewel,labor bill issue,Jagruti,reception,Report,high
Smart Jewel,entry level issue,sarika,reception,Support,high
Smart Jewel,report problem,reception,reception,Report,high
Smart Jewel,last year not show,Sajeda,reception,Support,V.Urgent
SJE Plus,Direct Call Certi No Or Lab Name,sarika,sarika,bug,V.Urgent
Smart Jewel,tag print problem,drashti,reception,Report,V.Urgent
SJE Plus,Direct Call Duplicate Bag No Aftre And B4 CUtoff Same BAg No Issue,sarika,sarika,New Req,V.Urgent
SJE Plus,Direct Call rivaz,sarika,sarika,New Req,V.Urgent
Smart Jewel,biil print issue,Heta,reception,Report,V.Urgent
Smart Jewel,entry issue,sarika,reception,Support,V.Urgent
Smart Jewel,packing list export ad diamond details issue,reception,reception,Report,high
SJE Plus,importer problem ,Heta,reception,Support,high
Smart Jewel,year generate issue (urgent),Sajeda,reception,Support,V.Urgent
Smart Jewel,sales opening column not show,ashit,reception,Support,V.Urgent
Smart Jewel,software close,yogita,reception,Support,V.Urgent
Smart Jewel,stone show minus,shubham,reception,Support,V.Urgent
Smart Jewel,tag printing issue,Heta,reception,Report,V.Urgent
Smart Jewel,software update,yogita,reception,Support,high
Smart Jewel,source module update,prakash,reception,Support,V.Urgent
Smart Jewel,tag print issue,gaurav,reception,Support,V.Urgent
Smart Jewel,bar code double issue,shubham,reception,Support,high
Smart Jewel,gold metal issue,chiranjiv,reception,Support,V.Urgent
SJE Plus,in report net weight issue,Jagruti,reception,Report,high
Smart Jewel,back up issue,Sajeda,reception,Support,V.Urgent
SJE Plus,metal weight double on bag,Jagruti,reception,Report,high
Smart Jewel,weight plus in bill,reception,reception,Report,V.Urgent
Smart Jewel,branch transfer payment issue ,gaurav,reception,Support,high
Smart Jewel,bag print issue,Jagruti,reception,Report,high
SJE Plus,tag sat ,jaytur,reception,Support,high
Smart Jewel,report changes,reception,reception,Report,high
SJE Plus,leora Account Problem,ashit,ashit,New Req,V.Urgent
Smart Jewel,in report diamond quality issue,ashit,reception,Report,V.Urgent
Smart Jewel,cat loge image issue,sarika,reception,Report,V.Urgent
Smart Jewel,repairing issue,chiranjiv,reception,Support,V.Urgent
Smart Jewel,diamond issue return problem,prakash,reception,Support,V.Urgent
SJE Plus,user rights issue,ashit,reception,Support,V.Urgent
Smart Jewel,Direct Call,sarika,sarika,Report,V.Urgent
Smart Jewel,Direct Call,sarika,sarika,New Req,high
Smart Jewel,Direct Call,sarika,sarika,bug,V.Urgent
Smart Jewel,slide show report issue,reception,reception,Report,V.Urgent
SJE Plus,software close,yogita,reception,Support,high
Smart Jewel,software update,Heta,reception,Support,V.Urgent
Smart Jewel,in journal print client name not coming,Sajeda,reception,Report,high
Smart Jewel,order print remarks show issue,Heta,reception,Report,high
SJE Plus,Direct Call,sarika,sarika,New Req,V.Urgent
Smart Jewel,bag print issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,branch transfer edit issue,vikas,reception,Support,V.Urgent
Smart Jewel,report error,Heta,reception,Report,high
Smart Jewel,chain received problem,shubham,reception,Support,high
Smart Jewel,ask casting issue,shubham,reception,Support,V.Urgent
SJE Plus,Direct Call,sarika,sarika,New Req,V.Urgent
Smart Jewel,quotation issue,shubham,reception,Support,V.Urgent
Smart Jewel,ratio sat,vipul,reception,Support,high
Smart Jewel,printing mistake,Jagruti,reception,Report,V.Urgent
Smart Jewel,ask about finding,krishna,reception,Support,V.Urgent
Smart Jewel,software problem,sarika,reception,Support,high
Smart Jewel,software update,Jagruti,reception,Support,V.Urgent
SJE Plus,labour invoice issue,Sajeda,reception,Support,high
SJE Plus,objet error,ashit,reception,Support,high
Smart Jewel,wip report not show proper and  bag report image not show and user right issue,Heta,reception,Report,V.Urgent
SJE Plus,Direct Call,sarika,sarika,Support,V.Urgent
SJE Plus,Direct Call,sarika,sarika,Support,V.Urgent
SJE Plus,as per mail loss recovery not getting proper in material trancation report,sarika,sarika,bug,V.Urgent
SJE Plus,Direct Call,sarika,sarika,Support,V.Urgent
Smart Jewel,issue voucher metal problem,Sajeda,reception,Report,high
Smart Jewel,certificate number not show in bill,Jagruti,reception,Report,V.Urgent
SJE Plus,bag image issue,Jagruti,reception,Report,high
Smart Jewel,manufacturing issue,jaytur,reception,Support,high
Smart Jewel,ask server name,yogita,reception,Support,V.Urgent
Smart Jewel,ask casting entry ,shubham,reception,Support,V.Urgent
Smart Jewel,some report issue and cloud password,vipul,reception,Support,high
SJE Plus,diamond package bar code issue,ketan,reception,New Req,high
Smart Jewel,order transaction report issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,customer order bag issue,prakash,reception,Support,V.Urgent
Smart Jewel,kundan entry - issue(urgent),jaytur,reception,Support,high
Smart Jewel,diamond purchase issue,krishna,reception,Support,V.Urgent
SJE Plus,entry delete issue,vipul,reception,Support,high
Smart Jewel,tag printing issue,Heta,reception,Report,V.Urgent
Smart Jewel,report print issue,Janvi,reception,Report,high
SJE Plus,importer file not save,krishna,reception,Support,V.Urgent
SJE Plus,report printing issue,reception,reception,Report,high
SJE Plus,in bill one column add,Sajeda,reception,Report,V.Urgent
SJE Plus,approval memo issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,in tag peaces of number print issue,ashit,reception,Support,V.Urgent
Smart Jewel,self repair user name password incorrect,Sajeda,reception,Support,V.Urgent
SJE Plus,report changes,drashti,reception,Report,V.Urgent
Smart Jewel,in quotation remarks show issue,Heta,reception,Report,high
Smart Jewel,image folder issue,krishna,reception,Support,high
SJE Plus,main master issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,installation,yogita,reception,Support,high
SJE Plus,diamond stock not tally,sarika,reception,Support,V.Urgent
Smart Jewel,gold recovery issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,style master image not show,chiranjiv,reception,Support,V.Urgent
SJE Plus,installation,yogita,reception,Support,V.Urgent
Smart Jewel,report print option not show(urgent),yogita,reception,Report,V.Urgent
Smart Jewel,report setup,Jagruti,reception,Report,V.Urgent
SJE Plus,approval bill issue  and vestige issue,sarika,reception,Support,high
Smart Jewel,certificate image issue,krishna,reception,Support,high
Smart Jewel,quotation packing list chnages,krishna,reception,Report,high
SJE Plus,slid show issue,krishna,reception,Support,high
Smart Jewel,software close,shubham,reception,Support,high
Smart Jewel,order generate details issue,shubham,reception,Support,high
Smart Jewel,invoice issue,drashti,reception,Report,V.Urgent
SJE Plus,Report Conversion,drashti,drashti,Report,high
SJE Plus,Report Conversion,drashti,drashti,Report,high
SJE Plus,In Report value wrong show ,drashti,drashti,Report,high
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,report not preview,Jagruti,reception,Report,V.Urgent
Smart Jewel,bag finalise issue,shubham,reception,Support,high
Smart Jewel,reliance rate chart issue,sarika,reception,Support,high
Smart Jewel,approval memo issue,shubham,reception,Support,V.Urgent
Smart Jewel,print not show,drashti,reception,Report,V.Urgent
Smart Jewel,report correction and bill issue and print option issue,drashti,reception,Report,V.Urgent
Smart Jewel,ledger with stock report error,jaytur,reception,Support,high
SJE Plus,tag details show issue,chiranjiv,reception,Support,V.Urgent
Smart Jewel,report chnages,drashti,drashti,Report,high
Smart Jewel,item not show,drashti,drashti,Support,V.Urgent
Smart Jewel,Create New Report,drashti,chiranjiv,Report,med
Smart Jewel,after update tag problem,sarika,reception,Support,high
SJE Plus,repair bag issue,prakash,reception,Support,V.Urgent
SJE Plus,certificate image issue,vipul,reception,Support,high
Smart Jewel,ask about transaction issue,prakash,reception,Support,V.Urgent
SJE Plus,print data not show,drashti,reception,Report,high
Smart Jewel,diamond stock issue,prakash,reception,Support,high
Smart Jewel,ask about rate chart,sarika,reception,Support,V.Urgent
Smart Jewel,gst show issue,krishna,reception,Support,high
Smart Jewel,balance sheet issue,ashit,reception,Support,V.Urgent
SJE Plus,fg error,krishna,reception,Support,V.Urgent
Smart Jewel,tag issue,gaurav,reception,Support,V.Urgent
Smart Jewel,software close,yogita,reception,Support,high
Smart Jewel,auto repair sale bill issue,sarika,reception,Support,high
Smart Jewel,software close,shubham,reception,Support,high
Smart Jewel,network path issue,Janvi,reception,Support,high
Smart Jewel,software problem,sarika,reception,Support,high
Smart Jewel,ask account create is proper,shubham,reception,Support,V.Urgent
Smart Jewel,repair entry level issue,shubham,reception,Support,high
Smart Jewel,software close,shubham,reception,Support,high
Smart Jewel,report issue,Jagruti,reception,Report,high
Smart Jewel,Cutoff,Sajeda,Sajeda,Support,med
Smart Jewel,backup path issue,shubham,reception,Support,high
Smart Jewel,style master import issue,chiranjiv,reception,Support,high
Smart Jewel,approval return issue,krishna,reception,Support,high
SJE Plus,Raw Material and amount  report issue and layout set,drashti,drashti,Report,high
Smart Jewel,order issue,sarika,reception,Support,V.Urgent
Smart Jewel,software close,yogita,reception,Support,V.Urgent
SJE Plus,Sale Order item not save,drashti,drashti,Support,V.Urgent
Smart Jewel,diamond weight issue(urgent),Jagruti,reception,Support,V.Urgent
Smart Jewel,order gold kt wip update issue,prakash,reception,Support,V.Urgent
Smart Jewel,tag print issue,drashti,reception,Support,V.Urgent
Smart Jewel,in report diamond quality add,drashti,reception,Report,high
Smart Jewel,software close,yogita,reception,Support,high
Smart Jewel,tag print format issue,prakash,reception,Support,V.Urgent
Smart Jewel,entry unlock,shubham,reception,Support,high
Smart Jewel,pd transaction issue,Sajeda,reception,Support,V.Urgent
Smart Jewel,client master email export,shubham,reception,Support,high
Smart Jewel,Accounting Entry Issue Client master issue and ,sarika,sarika,New Req,V.Urgent
Smart Jewel,approval return issue,shubham,reception,Support,V.Urgent
Smart Jewel,network path error,shubham,reception,Support,high
Smart Jewel,report changes,drashti,reception,Report,high
Smart Jewel,ask diamond  design issue,vikas,reception,Support,V.Urgent
Smart Jewel,connection issue,yogita,reception,Support,V.Urgent
SJE Plus,slide show procedure convert ,drashti,drashti,Report,med
SJE Plus,repairing order issue,shubham,reception,Support,high
SJE Plus,object error,ashit,reception,Support,high
Smart Jewel,dust edit issue,prakash,reception,Support,V.Urgent
Smart Jewel,report issue,drashti,drashti,Report,V.Urgent
Smart Jewel,installation,yogita,reception,Support,V.Urgent
Smart Jewel,style date issue,gaurav,reception,Support,high
Smart Jewel,in report image issue,Jagruti,reception,Report,high
Smart Jewel,report issue,sarika,reception,Report,V.Urgent
Smart Jewel,in Profit report Profit value and per wrong show,drashti,drashti,Report,V.Urgent
Smart Jewel,diamond  jewelry sale out issue,reception,reception,Support,high
SJE Plus,object error,prakash,reception,Support,V.Urgent
Smart Jewel,purchase book error,prakash,reception,Support,high
Smart Jewel,labor invoice issue,shubham,reception,Support,V.Urgent
Smart Jewel,report changes,drashti,reception,Report,high
Smart Jewel,peace out issue,jaytur,reception,Support,high
Smart Jewel,sale order issue ,ashit,reception,Support,V.Urgent
Smart Jewel,loss book issue in bag transaction issue,sarika,reception,Support,high
Smart Jewel,installation,Jagruti,reception,Support,V.Urgent
Smart Jewel,ask melting entry,shubham,reception,Support,V.Urgent
Smart Jewel,report not open and report change,krishna,reception,Report,high
Smart Jewel,bag transaction issue,Sajeda,reception,Support,V.Urgent
SJE Plus,Ledger Report issue,drashti,drashti,Report,V.Urgent
Smart Jewel,report issue,drashti,reception,Report,V.Urgent
Smart Jewel,image not show in certificate,Sajeda,reception,Support,V.Urgent
Smart Jewel,ledger amount issue,krishna,reception,Support,high
Smart Jewel,bag generate image not show(uregent),krishna,reception,Support,V.Urgent
Smart Jewel,print format correction,Jagruti,reception,Report,V.Urgent
Smart Jewel,jewel code issue,prakash,reception,Support,V.Urgent
Smart Jewel,Add new row in some reports alredy told drashti madam and report changes,drashti,ambrish,Report,high
Smart Jewel,all report error show,Jagruti,reception,Report,V.Urgent
Smart Jewel,invoice quotation issue,Jagruti,reception,Report,V.Urgent
Smart Jewel,report issue,Heta,reception,Report,V.Urgent
Smart Jewel,self broken error,krishna,reception,Support,high
Smart Jewel,report show,sarika,reception,Report,V.Urgent
Smart Jewel,purchase sale details,chiranjiv,reception,Support,high
Smart Jewel,style report show,drashti,reception,Report,V.Urgent
