project,desc,category,priority,assign to
SJE Plus,entry error,Support,high,Jagruti
Smart Jewel,diamond sale sat up issue,Support,high,Sajeda
Smart Jewel,tag set issue,Support,high,krishna
Smart Jewel,tag issue,Support,V.Urgent,Heta
Smart Jewel,gst invoice problem,Report,Med,Heta
SJE Plus,Direct Call,Support,V.Urgent,drashti
Smart Jewel,ask about report,Support,V.Urgent,jaytur
Smart Jewel,report issue,Report,Low,drashti
SJE Plus,Sambhav Diamond Report changes as per group msg,Report,Low,drashti
Smart Jewel,casting detail add error show,Support,V.Urgent,krishna
Smart Jewel,client wise due report issue,Support,high,krishna
Smart Jewel,bar-code setting issue(urgent),Tag,V.Urgent,krishna
Smart Jewel,software hang,Support,high,gaurav
Smart Jewel,New Report as per mail,Report,Low,Krupa
Smart Jewel,tag issue,Support,V.Urgent,chiranjiv
Smart Jewel,out of memory error,Support,high,vipul
Smart Jewel,purchase problem,Support,V.Urgent,vipul
Smart Jewel,Report Changes,Report,Low,Krupa
Smart Jewel,loose material issue voucher issue,Support,high,Heta
Smart Jewel,in tag diamond size add,Support,V.Urgent,sarika
Smart Jewel,print report some changes,Report,Low,Heta
Smart Jewel,in report total gold weight issue,Support,high,krishna
Smart Jewel,in quotation pure weight issue,Report,Low,Jagruti
SJE Plus,Software Install in node,Installation,V.Urgent,shubham
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,report make,Report,Low,chiranjiv
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,packing list issue,Report,Low,Jagruti
Smart Jewel,tax invoice hsn code not show(urgent),Report,Low,Krupa
Smart Jewel,tag setting issue,Support,high,chiranjiv
Smart Jewel,slide show issue,Support,V.Urgent,krishna
Smart Jewel,ask bag issue,Support,V.Urgent,Sajeda
Smart Jewel,order problem(Urgent ),Support,V.Urgent,Sajeda
Smart Jewel,bag finalize issue,Support,V.Urgent,krishna
Smart Jewel,ask edit option,Support,V.Urgent,Heta
Smart Jewel,tag print not show,Support,V.Urgent,krishna
Smart Jewel,report changes,Report,Low,Jagruti
Smart Jewel,manufacturing edit issue,Support,high,shubham
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Report,Low,drashti
SJE Plus,Direct Call,Report,Low,drashti
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,in quotation price issue,Report,Low,Jagruti
Smart Jewel,item crete ,Support,V.Urgent,shubham
SJE Plus,style master remark issue,Support,high,gaurav
Smart Jewel,mail not send,Support,V.Urgent,Sajeda
Smart Jewel,new report make,Report,Low,Jagruti
Smart Jewel,file import issue,Support,high,shubham
Smart Jewel,policy changes,Support,V.Urgent,Sajeda
SJE Plus,software update,Support,high,Heta
SJE Plus,gold purchase item id issue,Support,high,Heta
Smart Jewel,report problem,Report,Low,Heta
Smart Jewel,Wip po wirh image issue,Support,high,ashit
Smart Jewel,item receive issue,Support,V.Urgent,jaytur
Smart Jewel,in invoice total add,Report,Low,drashti
Smart Jewel,repair entry issue,Support,high,vipul
Smart Jewel,bag print and image not show,Support,V.Urgent,drashti
Smart Jewel,image issue,Support,V.Urgent,chiranjiv
Smart Jewel,policy changes,Support,V.Urgent,sarika
Smart Jewel,hardisk path set,Support,high,Janvi
Smart Jewel,software update,Support,high,Sajeda
SJE Plus,Error When Update Order Detail,Support,high,Heta
Smart Jewel,order issue,Report,Low,Jagruti
Smart Jewel,bar code no. duplicate issue,Support,high,krishna
Smart Jewel,wip report issue,Support,high,sarika
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,ruby code add,Support,high,krishna
SJE Plus,trial balance stock,Support,high,sarika
Smart Jewel,jewellry details show issue,Support,high,Sajeda
Smart Jewel,bag print and order generate issue,Support,V.Urgent,Sajeda
Smart Jewel,report issue,Report,Low,drashti
Smart Jewel,installation,Support,high,Sajeda
Smart Jewel,order problem,Support,high,chiranjiv
Smart Jewel,server change(call tomorrow 12 pm),Support,high,Janvi
SJE Plus,Direct Call,Tag,V.Urgent,drashti
Smart Jewel,memo process issue,Support,V.Urgent,prakash
SJE Plus,Consolidate Transaction Report Issue,Support,high,sarika
SJE Plus,Stock Order Or Prchase Order Exp Date Or Pro Date Issue In Detail Order Printing Done,Support,high,sarika
SJE Plus,Export Invoice In USD Bill Extra Charges Not Convert INR To USD,Support,V.Urgent,sarika
Smart Jewel,bill print save error,Report,Low,Jagruti
SJE Plus,styleno CHanges Isue,Support,V.Urgent,sarika
SJE Plus,Repair Order Issue,New Req,Med,sarika
Smart Jewel,bill print issue,Report,Low,drashti
Smart Jewel,march bank entry issue,Support,high,Sajeda
SJE Plus,report not show ,Support,V.Urgent,yogita
Smart Jewel,format issue,Report,Low,drashti
SJE Plus,approval sale issue,Support,high,shubham
Smart Jewel,installation,Support,high,krishna
Smart Jewel,bag number issue,Support,high,krishna
SJE Plus,software close,Support,V.Urgent,yogita
Smart Jewel,book master issue,Support,high,shubham
SJE Plus,report problem,Report,Low,Jagruti
Smart Jewel,metal color not show in job sheet,Report,Low,Heta
Smart Jewel,report changes and hsn code change,Report,Low,shubham
SJE Plus,sale return issue,Support,high,krishna
SJE Plus,bag casting issue,Support,high,sarika
Smart Jewel,invoice purchase gst not show,Report,Med,Heta
Smart Jewel,balance deference show in bill,Report,Low,drashti
SJE Plus,labour invoice gst issue,Support,high,sarika
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,Direct Call,Report,Low,drashti
Smart Jewel,tag print issue,Support,high,drashti
Smart Jewel,in report rate issue,Report,Low,Jagruti
Smart Jewel,ask Loss report ,Report,Low,shubham
Smart Jewel,style master product image not upload,Support,V.Urgent,Heta
Smart Jewel,as per whats app group report error,Support,high,Heta
Smart Jewel,in report image issue,Report,Low,Heta
Smart Jewel,bill pdf not show,Report,Low,drashti
Smart Jewel,Direct Call,Support,V.Urgent,drashti
Smart Jewel,approval voucher some add,Report,Low,Jagruti
Smart Jewel,tag issue,Support,V.Urgent,krishna
Smart Jewel,installation,Support,V.Urgent,vikas
Smart Jewel,as per whats app query list,Support,high,gaurav
Smart Jewel,gst purchase issue,Support,V.Urgent,drashti
SJE Plus,entry level issue,Support,V.Urgent,chiranjiv
Smart Jewel,order image issue,Support,high,Sajeda
Smart Jewel,gst wrong show,Support,V.Urgent,Janvi
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,on hand peace issue,Support,high,Sajeda
Smart Jewel,tag price changes,Support,high,drashti
Smart Jewel,report changes,Report,Low,Heta
SJE Plus,Kripalu Agencies Report design as per mail,Report,Low,Krupa
Smart Jewel,stone settlement issue,Support,high,ashit
Smart Jewel,software slow problem,Support,V.Urgent,vipul
SJE Plus,job work issue,Support,high,shubham
SJE Plus,opening entry  error,Support,high,shubham
Smart Jewel,tag set issue,Support,V.Urgent,Heta
SJE Plus,sale order error,Support,high,krishna
Smart Jewel,image not upload(v.urgent),Support,V.Urgent,Heta
Smart Jewel,job work purchase report issue,Report,Low,Krupa
Smart Jewel,new year generate,Support,V.Urgent,yogita
SJE Plus,stock material - issue,Support,high,prakash
Smart Jewel,file import error,Support,high,vipul
Smart Jewel,application not found,Support,high,vipul
SJE Plus,bag cancel issue,Support,high,prakash
SJE Plus,purchase book make,Support,high,krishna
Smart Jewel,stock item not show,Support,V.Urgent,krishna
Smart Jewel,batch number problem,Support,V.Urgent,krishna
SJE Plus,soff Installation,Installation,V.Urgent,yogita
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,tag changes,Support,high,Heta
Smart Jewel,in report metal different issue,Report,Low,Jagruti
SJE Plus,Direct Call,Report,Low,drashti
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,diamond broken issue,Support,high,shubham
Smart Jewel,bill print issue(urgent),Report,Low,Heta
Smart Jewel,bag printing diamond not show,Report,Low,drashti
SJE Plus,print error(as per whats app),Report,Low,krishna
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,diamond issue problem,Support,V.Urgent,prakash
SJE Plus,bill changes,Report,Low,drashti
Smart Jewel,Loss entry issue,Support,high,chiranjiv
Smart Jewel,Stock valuation issue,Support,high,krishna
Smart Jewel,opening stock check,Support,V.Urgent,drashti
Smart Jewel,diamond sale issue and ask gst bill,Support,V.Urgent,sarika
Smart Jewel,memo return issue,Report,Low,drashti
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Report,Low,drashti
SJE Plus,Direct Call,Tag,high,drashti
SJE Plus,approval return edit issue,Support,high,shubham
Smart Jewel,report bind,Report,Low,drashti
SJE Plus,inward chain weight issue(urgent),Support,V.Urgent,shubham
SJE Plus,Direct Call,Report,Low,drashti
SJE Plus,pending order issue,Support,high,jaytur
Smart Jewel,node installation,Support,high,yogita
Smart Jewel,rate master issue not reflact in quotation,Support,high,sarika
SJE Plus,mop code active ,Support,high,shubham
Smart Jewel,job work gst changes,Support,high,shubham
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,"Slide show report issue , Self repair issue and image resizer install",Report,Low,drashti
SJE Plus,tag certificate number issue,Support,high,sarika
SJE Plus,packing list opening different issue,Report,Low,Jagruti
SJE Plus,old datarestore,New Req,Med,sarika
Smart Jewel,tag issue,Support,V.Urgent,krishna
Smart Jewel,Direct Call,Tag,V.Urgent,sarika
Smart Jewel,sale bill peaces issue,Support,V.Urgent,jaytur
Smart Jewel,make report format,Report,Low,Heta
SJE Plus,packing list net weight issue,Report,Low,drashti
SJE Plus,color stone size update issue,Support,high,shubham
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,as per mail all points discussion pending,bug,V.Urgent,sarika
Smart Jewel,export invoice cost rate entry require,bug,V.Urgent,sarika
SJE Plus,tollerance issue,bug,V.Urgent,sarika
Smart Jewel,Training ,Support,V.Urgent,sarika
Smart Jewel,tag problem and data issue,Tag,V.Urgent,sarika
Smart Jewel,fg issue(urgent),Support,V.Urgent,shubham
Smart Jewel,bill print issue,Report,Low,Jagruti
Smart Jewel,Direct call,Support,high,drashti
Smart Jewel,report editing,Report,Low,krishna
Smart Jewel,order quotation report issue,Report,Low,Jagruti
Smart Jewel,Branch transfer report pure wt field add procedure and report both,Report,Low,drashti
SJE Plus,software close,Support,high,yogita
Smart Jewel,old peace inward in sje plus,Support,V.Urgent,shubham
Smart Jewel,in bill print extra charge not add,Report,Low,Jagruti
Smart Jewel,metal purity issue,Support,V.Urgent,shubham
Smart Jewel,repair issue,Support,high,shubham
SJE Plus,packing list serial number issue,Report,Low,Jagruti
Smart Jewel,Report migration,Report,Low,drashti
Smart Jewel,Direct Call,Report,Low,drashti
SJE Plus,Report as per mail,New Req,Med,Krupa
Smart Jewel,certificate issue,Report,Low,Heta
SJE Plus,Bag Print report cut ,Report,Low,drashti
Smart Jewel,file import issue,Support,high,sarika
Smart Jewel,parent book as per sheetal,Support,V.Urgent,krishna
Smart Jewel,color stone sale issue,Support,V.Urgent,Sajeda
Smart Jewel,balance sheet not show in new year,Support,V.Urgent,prakash
Smart Jewel,image mm size issue,Support,high,shubham
SJE Plus,Bag print issue,Report,Low,drashti
Smart Jewel,Direct call,Report,Low,drashti
Smart Jewel,software close,Support,V.Urgent,Jagruti
Smart Jewel,Direct call,Report,Low,drashti
Smart Jewel,report issue,Report,Low,drashti
Smart Jewel,tag issue,Support,V.Urgent,Krupa
Smart Jewel,tag print issue,Support,V.Urgent,Sajeda
Smart Jewel,peace show in manias(urgent for parcel),Support,V.Urgent,chiranjiv
SJE Plus,Grandeor M Sale Report,bug,high,Krupa
SJE Plus,Tulsi Diamond Approval Report,Report,Low,Krupa
SJE Plus,BNM Tax Invoice,New Req,Med,Krupa
Smart Jewel,cut off,Support,V.Urgent,vikas
Smart Jewel,packing list print issue,Report,Low,Jagruti
Smart Jewel,entry stop,Support,high,Heta
Smart Jewel,tag print issue,Support,high,shubham
SJE Plus,balance sheet issue,Support,V.Urgent,jaytur
Smart Jewel,file import error(urgent),Support,V.Urgent,shubham
Smart Jewel,branch transfer issue,Support,high,shubham
Smart Jewel,tag print issue,Support,high,shubham
Smart Jewel,bag rejection melting issue,Support,high,shubham
SJE Plus,tag print issue,Support,V.Urgent,drashti
Smart Jewel,Ritesh sir Calling for quality  masters,bug,V.Urgent,sarika
SJE Plus,Direct Call,Tag,V.Urgent,drashti
Smart Jewel,report issue,Support,high,Heta
SJE Plus,after update tag issue,Support,V.Urgent,sarika
SJE Plus,"Direct Call How To Create Bill,Fg.....Print Preview How To Check Stock...Etc...",Support,V.Urgent,sarika
Smart Jewel,making formula issue,Support,high,shubham
Smart Jewel,casting issue,Support,V.Urgent,krishna
Smart Jewel,server name,Support,high,Jagruti
Smart Jewel,all report not show print not show(urgent),Report,Low,drashti
Smart Jewel,metal convert 20 carat issue,Support,high,krishna
SJE Plus,bill print not show,Report,Low,Jagruti
Smart Jewel,tag issue and branch transfer issue,Support,V.Urgent,Sajeda
Smart Jewel,white and black company path issue,Support,high,Janvi
Smart Jewel,software close,Support,high,Jagruti
Smart Jewel,make format,Report,Low,drashti
Smart Jewel,sql server corrupt,Support,high,Heta
SJE Plus,Sql Server Installation Because Of They Had Made Server Format,Installation,V.Urgent,sarika
Smart Jewel,metal receive issue(urgent),Support,V.Urgent,shubham
Smart Jewel,software close,Support,V.Urgent,Jagruti
Smart Jewel,cut off,Support,V.Urgent,sarika
SJE Plus,Direct Call Data Attach detach Or Data Duplicate issue,Support,V.Urgent,sarika
Smart Jewel,loss report,Report,Low,Heta
Smart Jewel,software change,Support,V.Urgent,Jagruti
Smart Jewel,node installation,Support,high,Heta
Smart Jewel,network error,Support,high,Janvi
Smart Jewel,add payment option in export invoice,Report,Low,Jagruti
Smart Jewel,software close,Support,high,drashti
SJE Plus,in style master double diamond entries are showing,bug,high,krishna
Smart Jewel,admin login wroge show,Support,V.Urgent,shubham
SJE Plus,Style master report import and exploration master field add,Report,Low,drashti
Smart Jewel,ask metaling issue,Support,V.Urgent,chiranjiv
SJE Plus,software close,Support,high,yogita
Smart Jewel,titan order color issue,Support,high,Heta
SJE Plus,Given Latest Update And Node Pc Issue,bug,V.Urgent,sarika
SJE Plus,Direct Call Importer Issue,New Req,Med,sarika
SJE Plus,Direct Call Manufacturing And Tree Casting Trainning And Custome Procedure,New Req,Med,sarika
SJE Plus,image upload error,Support,high,shubham
SJE Plus,back up path sat,Support,high,Jagruti
SJE Plus,VC Fine Jewels As per mail sale and material  new report create,Report,Low,drashti
Smart Jewel,bag split finalise report,Support,high,shubham
Smart Jewel,importer issue,Support,high,chiranjiv
SJE Plus,new style master image error,Support,high,yogita
SJE Plus,bag generate issue,Support,high,shubham
Smart Jewel,loan bases return issue,Support,high,gaurav
Smart Jewel,balance sheet issue,Support,V.Urgent,ashit
Smart Jewel,order error,Support,high,krishna
Smart Jewel,ask bag how to delete,Support,V.Urgent,krishna
SJE Plus,software close,Support,high,shubham
Smart Jewel,igi weight not show,Support,V.Urgent,shubham
Smart Jewel,tag issue,Support,V.Urgent,shubham
Smart Jewel,cut off,Support,high,krishna
Smart Jewel,branch transfer issue,Support,V.Urgent,vipul
Smart Jewel,tag setup issue,Support,V.Urgent,prakash
SJE Plus,style master default size issue,Support,high,krishna
Smart Jewel,software problem,Support,high,chiranjiv
Smart Jewel,entry level issue,Support,V.Urgent,jaytur
Smart Jewel,finish good rate show,Support,high,shubham
Smart Jewel,cz stock not show ,Support,V.Urgent,ashit
SJE Plus,Update Last Inward Issue,New Req,Med,sarika
SJE Plus,Direct Call Sales Analysts Report Issue,Report,Low,sarika
SJE Plus,repair order cancel issue,Support,high,prakash
Smart Jewel,memo receive return gst not show,Report,Med,Jagruti
Smart Jewel,Direct Call,Report,Low,drashti
SJE Plus,Direct Call,Report,Low,drashti
Smart Jewel,installation,Support,high,yogita
Smart Jewel,in wip complete peace not show,Support,V.Urgent,krishna
Smart Jewel,job work purchase issue,Support,V.Urgent,krishna
Smart Jewel,ask server name,Support,V.Urgent,krishna
SJE Plus,material recovery option issue,Support,high,krishna
Smart Jewel,tag edit issue,Support,V.Urgent,krishna
Smart Jewel,file import issue,Support,V.Urgent,krishna
Smart Jewel,ask how to bag generate,Support,V.Urgent,Sajeda
Smart Jewel,software close,Support,high,Jagruti
SJE Plus,repair issue(urgent),Support,high,sarika
Smart Jewel,item code not show,Support,V.Urgent,vipul
SJE Plus,report print issue and tag issue,Report,Low,drashti
SJE Plus,entry problem,Support,high,Heta
Smart Jewel,installation,Support,high,Heta
SJE Plus,new report,Report,Low,Jagruti
Smart Jewel,image issue,Support,high,shubham
Smart Jewel,slab add and edit issue,Support,V.Urgent,krishna
Smart Jewel,excel book issue,Support,V.Urgent,krishna
Smart Jewel,Direct call,Support,high,drashti
SJE Plus,payment settlement issue,Support,high,shubham
Smart Jewel,book master changes,Support,V.Urgent,krishna
SJE Plus,jewelry report entry issue,Support,high,ashit
Smart Jewel,server error,Support,high,shubham
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Support,high,drashti
SJE Plus,Direct Call,Support,V.Urgent,drashti
SJE Plus,loss entry error,Support,high,sarika
Smart Jewel,repair order issue,Support,V.Urgent,jaytur
SJE Plus,bag image issue,Report,Low,sarika
SJE Plus,memo changes,Support,high,ashit
SJE Plus,Material Report rate amount field add,Report,Low,drashti
SJE Plus,Tax invoice report labour wrong calaulate,Report,Low,drashti
SJE Plus,voucher report issue,Report,Low,drashti
SJE Plus,In Report 1 Field add,Report,Low,drashti
SJE Plus,image show in droller and Indian rs,Support,V.Urgent,gaurav
Smart Jewel,gst not show,Support,V.Urgent,krishna
SJE Plus,department diamond sale issue,Support,high,krishna
Smart Jewel,diamond rate issue,Support,high,Sajeda
Smart Jewel,master data problem,Support,high,krishna
Smart Jewel,tag print issue,Support,V.Urgent,chiranjiv
SJE Plus,Design report 2 field add,Report,Low,drashti
SJE Plus,tag changes,Support,high,Jagruti
Smart Jewel,file import issue,Support,V.Urgent,Sajeda
Smart Jewel,Yesterday your talk with Surbhi at B R Design for Gifting item stock. Kindly call her after 30 mins.,Support,high,vipul
Smart Jewel,order name not show,Support,V.Urgent,Sajeda
Smart Jewel,ask broken entry,Support,V.Urgent,shubham
Smart Jewel,software close,Support,high,yogita
Smart Jewel,tag print issue,Report,Low,Heta
Smart Jewel,estimate format issue,Report,Low,ashit
Smart Jewel,opening product not show,Support,high,Sajeda
SJE Plus,print issue,Report,Low,drashti
Smart Jewel,entry level issue,Support,high,vipul
Smart Jewel,Direct call,Support,high,drashti
Smart Jewel,Direct Call,Report,Low,drashti
SJE Plus,Direct Call,Tag,high,drashti
SJE Plus,StyleMaster details not show,Support,V.Urgent,drashti
Smart Jewel,server error,Support,V.Urgent,yogita
Smart Jewel,tag changes,Support,V.Urgent,krishna
SJE Plus,ledger with stock 0 issue,Support,high,prakash
SJE Plus,packing list diamond weight double show,Support,V.Urgent,drashti
SJE Plus,taging issue,Support,V.Urgent,shubham
Smart Jewel,tag price changes,Support,high,Sajeda
SJE Plus,jewelry stock as on report collection need,Support,V.Urgent,krishna
Smart Jewel,labor bill issue,Report,Low,Jagruti
Smart Jewel,entry level issue,Support,high,sarika
Smart Jewel,last year not show,Support,V.Urgent,Sajeda
SJE Plus,Direct Call Certi No Or Lab Name,bug,V.Urgent,sarika
Smart Jewel,tag print problem,Report,Low,drashti
SJE Plus,Direct Call Duplicate Bag No Aftre And B4 CUtoff Same BAg No Issue,New Req,Med,sarika
SJE Plus,Direct Call rivaz,New Req,Med,sarika
Smart Jewel,biil print issue,Report,Low,Heta
Smart Jewel,entry issue,Support,V.Urgent,sarika
SJE Plus,importer problem ,Support,high,Heta
Smart Jewel,year generate issue (urgent),Support,V.Urgent,Sajeda
Smart Jewel,sales opening column not show,Support,V.Urgent,ashit
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,stone show minus,Support,V.Urgent,shubham
Smart Jewel,tag printing issue,Report,Low,Heta
Smart Jewel,software update,Support,high,yogita
Smart Jewel,source module update,Support,V.Urgent,prakash
Smart Jewel,tag print issue,Support,V.Urgent,gaurav
Smart Jewel,bar code double issue,Support,high,shubham
Smart Jewel,gold metal issue,Support,V.Urgent,chiranjiv
SJE Plus,in report net weight issue,Report,Low,Jagruti
Smart Jewel,back up issue,Support,V.Urgent,Sajeda
SJE Plus,metal weight double on bag,Report,Low,Jagruti
Smart Jewel,branch transfer payment issue ,Support,high,gaurav
Smart Jewel,bag print issue,Report,Low,Jagruti
SJE Plus,tag sat ,Support,high,jaytur
SJE Plus,leora Account Problem,New Req,Med,ashit
Smart Jewel,in report diamond quality issue,Report,Low,ashit
Smart Jewel,cat loge image issue,Report,Low,sarika
Smart Jewel,repairing issue,Support,V.Urgent,chiranjiv
Smart Jewel,diamond issue return problem,Support,V.Urgent,prakash
SJE Plus,user rights issue,Support,V.Urgent,ashit
Smart Jewel,Direct Call,Report,Low,sarika
Smart Jewel,Direct Call,New Req,Med,sarika
Smart Jewel,Direct Call,bug,V.Urgent,sarika
SJE Plus,software close,Support,high,yogita
Smart Jewel,software update,Support,V.Urgent,Heta
Smart Jewel,in journal print client name not coming,Report,Low,Sajeda
Smart Jewel,order print remarks show issue,Report,Low,Heta
SJE Plus,Direct Call,New Req,Med,sarika
Smart Jewel,bag print issue,Report,Low,Jagruti
Smart Jewel,branch transfer edit issue,Support,V.Urgent,vikas
Smart Jewel,report error,Report,Low,Heta
Smart Jewel,chain received problem,Support,high,shubham
Smart Jewel,ask casting issue,Support,V.Urgent,shubham
SJE Plus,Direct Call,New Req,Med,sarika
Smart Jewel,quotation issue,Support,V.Urgent,shubham
Smart Jewel,ratio sat,Support,high,vipul
Smart Jewel,printing mistake,Report,Low,Jagruti
Smart Jewel,ask about finding,Support,V.Urgent,krishna
Smart Jewel,software problem,Support,high,sarika
Smart Jewel,software update,Support,V.Urgent,Jagruti
SJE Plus,labour invoice issue,Support,high,Sajeda
SJE Plus,objet error,Support,high,ashit
Smart Jewel,wip report not show proper and  bag report image not show and user right issue,Report,Low,Heta
SJE Plus,Direct Call,Support,V.Urgent,sarika
SJE Plus,Direct Call,Support,V.Urgent,sarika
SJE Plus,as per mail loss recovery not getting proper in material trancation report,bug,V.Urgent,sarika
SJE Plus,Direct Call,Support,V.Urgent,sarika
Smart Jewel,issue voucher metal problem,Report,Low,Sajeda
Smart Jewel,certificate number not show in bill,Report,Low,Jagruti
SJE Plus,bag image issue,Report,Low,Jagruti
Smart Jewel,manufacturing issue,Support,high,jaytur
Smart Jewel,ask server name,Support,V.Urgent,yogita
Smart Jewel,ask casting entry ,Support,V.Urgent,shubham
Smart Jewel,some report issue and cloud password,Support,high,vipul
Smart Jewel,order transaction report issue,Report,Low,Jagruti
Smart Jewel,customer order bag issue,Support,V.Urgent,prakash
Smart Jewel,kundan entry - issue(urgent),Support,high,jaytur
Smart Jewel,diamond purchase issue,Support,V.Urgent,krishna
SJE Plus,entry delete issue,Support,high,vipul
Smart Jewel,tag printing issue,Report,Low,Heta
Smart Jewel,report print issue,Report,Low,Janvi
SJE Plus,importer file not save,Support,V.Urgent,krishna
SJE Plus,in bill one column add,Report,Low,Sajeda
SJE Plus,approval memo issue,Support,V.Urgent,Sajeda
Smart Jewel,in tag peaces of number print issue,Support,V.Urgent,ashit
Smart Jewel,self repair user name password incorrect,Support,V.Urgent,Sajeda
SJE Plus,report changes,Report,Low,drashti
Smart Jewel,in quotation remarks show issue,Report,Low,Heta
Smart Jewel,image folder issue,Support,high,krishna
SJE Plus,main master issue,Support,V.Urgent,Sajeda
Smart Jewel,installation,Support,high,yogita
SJE Plus,diamond stock not tally,Support,V.Urgent,sarika
Smart Jewel,gold recovery issue,Support,V.Urgent,Sajeda
Smart Jewel,style master image not show,Support,V.Urgent,chiranjiv
SJE Plus,installation,Support,V.Urgent,yogita
Smart Jewel,report print option not show(urgent),Report,Low,yogita
Smart Jewel,report setup,Report,Low,Jagruti
SJE Plus,approval bill issue  and vestige issue,Support,high,sarika
Smart Jewel,certificate image issue,Support,high,krishna
Smart Jewel,quotation packing list chnages,Report,Low,krishna
SJE Plus,slid show issue,Support,high,krishna
Smart Jewel,software close,Support,high,shubham
Smart Jewel,order generate details issue,Support,high,shubham
Smart Jewel,invoice issue,Report,Low,drashti
SJE Plus,Report Conversion,Report,Low,drashti
SJE Plus,Report Conversion,Report,Low,drashti
SJE Plus,In Report value wrong show ,Report,Low,drashti
Smart Jewel,installation,Support,V.Urgent,Jagruti
Smart Jewel,report not preview,Report,Low,Jagruti
Smart Jewel,bag finalise issue,Support,high,shubham
Smart Jewel,reliance rate chart issue,Support,high,sarika
Smart Jewel,approval memo issue,Support,V.Urgent,shubham
Smart Jewel,print not show,Report,Low,drashti
Smart Jewel,report correction and bill issue and print option issue,Report,Low,drashti
Smart Jewel,ledger with stock report error,Support,high,jaytur
SJE Plus,tag details show issue,Support,V.Urgent,chiranjiv
Smart Jewel,report chnages,Report,Low,drashti
Smart Jewel,item not show,Support,V.Urgent,drashti
Smart Jewel,Create New Report,Report,Low,chiranjiv
Smart Jewel,after update tag problem,Support,high,sarika
SJE Plus,repair bag issue,Support,V.Urgent,prakash
SJE Plus,certificate image issue,Support,high,vipul
Smart Jewel,ask about transaction issue,Support,V.Urgent,prakash
SJE Plus,print data not show,Report,Low,drashti
Smart Jewel,diamond stock issue,Support,high,prakash
Smart Jewel,ask about rate chart,Support,V.Urgent,sarika
Smart Jewel,gst show issue,Support,high,krishna
Smart Jewel,balance sheet issue,Support,V.Urgent,ashit
SJE Plus,fg error,Support,V.Urgent,krishna
Smart Jewel,tag issue,Support,V.Urgent,gaurav
Smart Jewel,software close,Support,high,yogita
Smart Jewel,auto repair sale bill issue,Support,high,sarika
Smart Jewel,software close,Support,high,shubham
Smart Jewel,network path issue,Support,high,Janvi
Smart Jewel,software problem,Support,high,sarika
Smart Jewel,ask account create is proper,Support,V.Urgent,shubham
Smart Jewel,repair entry level issue,Support,high,shubham
Smart Jewel,software close,Support,high,shubham
Smart Jewel,report issue,Report,Low,Jagruti
Smart Jewel,Cutoff,Support,med,Sajeda
Smart Jewel,backup path issue,Support,high,shubham
Smart Jewel,style master import issue,Support,high,chiranjiv
Smart Jewel,approval return issue,Support,high,krishna
SJE Plus,Raw Material and amount  report issue and layout set,Report,Low,drashti
Smart Jewel,order issue,Support,V.Urgent,sarika
Smart Jewel,software close,Support,V.Urgent,yogita
SJE Plus,Sale Order item not save,Support,V.Urgent,drashti
Smart Jewel,diamond weight issue(urgent),Support,V.Urgent,Jagruti
Smart Jewel,order gold kt wip update issue,Support,V.Urgent,prakash
Smart Jewel,tag print issue,Support,V.Urgent,drashti
Smart Jewel,in report diamond quality add,Report,Low,drashti
Smart Jewel,software close,Support,high,yogita
Smart Jewel,tag print format issue,Support,V.Urgent,prakash
Smart Jewel,entry unlock,Support,high,shubham
Smart Jewel,pd transaction issue,Support,V.Urgent,Sajeda
Smart Jewel,client master email export,Support,high,shubham
Smart Jewel,Accounting Entry Issue Client master issue and ,New Req,Med,sarika
Smart Jewel,approval return issue,Support,V.Urgent,shubham
Smart Jewel,network path error,Support,high,shubham
Smart Jewel,report changes,Report,Low,drashti
Smart Jewel,ask diamond  design issue,Support,V.Urgent,vikas
Smart Jewel,connection issue,Support,V.Urgent,yogita
SJE Plus,slide show procedure convert ,Report,Low,drashti
SJE Plus,repairing order issue,Support,high,shubham
SJE Plus,object error,Support,high,ashit
Smart Jewel,dust edit issue,Support,V.Urgent,prakash
Smart Jewel,report issue,Report,Low,drashti
Smart Jewel,installation,Support,V.Urgent,yogita
Smart Jewel,style date issue,Support,high,gaurav
Smart Jewel,in report image issue,Report,Low,Jagruti
Smart Jewel,report issue,Report,Low,sarika
